id,heading,publisher,Firstnations,Women,Children,Racialminorities,Peoplewithdisabilitiesorchronichealthconditions,Unemployedorprecariouslyemployed,Youngpeople,Violence,Work,Criminaljustice,Prejudiceanddiscrimination,Healthcare,Familyrelations,inequality,Shelter,groups,issues
15,Deadly gang hatred needs real response,News,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,Racialminorities;Youngpeople,Violence;Criminaljustice
16,Let’s tear it all down at the dawn of Great Awokening,News,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Racialminorities,inequality
18,RACE PANIC GOES TO NEXT LEVEL,News,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Racialminorities,Prejudiceanddiscrimination
19,Spare me racism lectures from ABC,News,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Racialminorities,Prejudiceanddiscrimination
20,the Advertiser Hard times in US worsened by anarchy,News,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,Racialminorities,Violence;Work;Criminaljustice
21,The Advertiser Respect for all,News,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,Racialminorities,Violence;Prejudiceanddiscrimination
22,"FROM BLACK LIVES TO SPORT, WE’RE HIGH ON INEQUALITY",News,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,Firstnations;Women;Racialminorities,Criminaljustice
23,NOW TAKE ACTION ON RACISM,News,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,Firstnations;Racialminorities,Criminaljustice;Prejudiceanddiscrimination
26,The Advertiser SA Award winners show the best of us,News,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,Firstnations;Women;Racialminorities;Peoplewithdisabilitiesorchronichealthconditions,Violence;Work;Prejudiceanddiscrimination
27,TWIGGY DESCRIBES AN AUSTRALIA WE DON’T KNOW,News,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,Firstnations;Racialminorities,Violence;Prejudiceanddiscrimination
28,WEAK GLORIFIED IN OUR CULTURE,News,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,Firstnations;Women;Racialminorities,Prejudiceanddiscrimination;Healthcare
29,"Clear, strong policies needed to take racism out of the game",Others,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Racialminorities,Prejudiceanddiscrimination
30,IR package favours business flexibility,Fairfax,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,Women,Work;Criminaljustice
33,Curfew must offer plan for those with no choice,Fairfax,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,Firstnations;Youngpeople,Violence;Familyrelations;Shelter
34,How to fill the tradie skills gap: women,Fairfax,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,Firstnations;Women;Peoplewithdisabilitiesorchronichealthconditions,Work
36,It's time to stop demonising the social security system,Others,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,Unemployedorprecariouslyemployed;Youngpeople,Shelter
38,Vulnerable need help in recovery,News,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Children,Work
39,Culture and domestic violence,News,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,Firstnations;Women,Violence;Familyrelations
40,CULTURE TO BLAME FOR MUCH OF THIS FAMILY VIOLENCE,News,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,Firstnations;Women;Children,Violence;Criminaljustice;Familyrelations
43,A paedophile supporter gets OA award,Fairfax,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Women,Violence
44,A strong message on youth detention,Fairfax,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,Children,Violence;Criminaljustice
45,Action on ambulance claims took far too long,Fairfax,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,Women,Violence;Criminaljustice;Prejudiceanddiscrimination
46,All areas of sport need more women,Fairfax,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,Women;Youngpeople,Work;inequality
47,Ardern's catch of the day: her partner's support,Fairfax,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,Women;Youngpeople,Work
48,Arndt's Order of Australia demeans the awards,Fairfax,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Women,Violence
49,Be alert and alarmed about boys' role models,Fairfax,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,Women;Children,Violence
50,Bettina Arndt should return Order of Australia,Fairfax,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,Women;Children,Violence;Familyrelations
52,Breaking a vicious cycle,Fairfax,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,Women;Children,Violence;Familyrelations
53,Bringing judges who behave badly to account,Fairfax,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Women,Violence
54,Budget a missed opportunity on sensitive issues,Fairfax,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,Women;Unemployedorprecariouslyemployed;Youngpeople,Work;Healthcare;Shelter
55,Challenges ahead on mental health,Fairfax,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,Children;Peoplewithdisabilitiesorchronichealthconditions,Violence;Healthcare
56,Continuing the fight for women's rights,Fairfax,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,Women,Prejudiceanddiscrimination;inequality
58,Courts need to get tougher on sex abuse,Fairfax,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Children,Violence
59,Dead hand of the state will be our JobKiller if we prolong it,Fairfax,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,Unemployedorprecariouslyemployed,Work;inequality
60,"Depp, Heard and the deterrence factor",Fairfax,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,Women,Violence;Prejudiceanddiscrimination;Familyrelations
61,Disabled must not bear cost of hit to budget surplus,Fairfax,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,Peoplewithdisabilitiesorchronichealthconditions,Work
63,Everyone wins with new social housing,Fairfax,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,Women,Work;Shelter
64,"Fierce, fabulous and flawed",Fairfax,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,Women,Violence;Work;Criminaljustice;inequality
65,Fiscal stimulus key to stem jobless increase,Fairfax,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,Women;Unemployedorprecariouslyemployed,Work
66,Former Liberal staffer laments her silence,Fairfax,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Women,Prejudiceanddiscrimination
67,Foundation for recovery comes at a bearable cost,Fairfax,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,Unemployedorprecariouslyemployed;Youngpeople,Work
69,Good social housing needs more than millions,Fairfax,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,Peoplewithdisabilitiesorchronichealthconditions,Shelter
70,Here we go again - sacrificing the heart and soul of our city,Fairfax,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Children,Shelter
73,"Investing in public housing, and lives",Fairfax,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,Youngpeople,Violence;Familyrelations;Shelter
75,Job path is an uphill struggle,Fairfax,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,Women;Youngpeople,Work
76,Jobless sole parents face cash crux,Fairfax,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,Women;Unemployedorprecariouslyemployed,Work;Familyrelations
77,Make visible to justice women's hidden hell,Fairfax,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,Women;Children,Violence
78,Male champions with an image problem,Fairfax,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,Women,Violence;inequality
79,Missing middle' leaves too many in the dark,Fairfax,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,Peoplewithdisabilitiesorchronichealthconditions,Work;Healthcare;Familyrelations
80,No Australian life is expendable,Fairfax,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,Peoplewithdisabilitiesorchronichealthconditions,Violence;Healthcare;Familyrelations
81,Older people's lives shouldn't count less,Fairfax,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,Women,Prejudiceanddiscrimination;Shelter
82,Patching over a culture problem,Fairfax,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,Women,Work;Prejudiceanddiscrimination;Familyrelations
83,Paternity leave a path to equality,Fairfax,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,Women,Violence;Familyrelations;inequality
85,"Raise wages, help recovery",Fairfax,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Unemployedorprecariouslyemployed,Work
87,Rising inequality can't be ignored,Fairfax,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,Women;Youngpeople,Work;inequality
88,Ryan's optimism and vision sorely needed today,Fairfax,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,Women;Children;Peoplewithdisabilitiesorchronichealthconditions,Work;Prejudiceanddiscrimination;inequality
89,Shore challenges won't earn entry to adult world,Fairfax,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,Women;Youngpeople,Violence;Criminaljustice
91,Slow and steady on post-virus cutbacks,Fairfax,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Unemployedorprecariouslyemployed,Work
92,So JobKeeper stays. Then what?,Fairfax,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Unemployedorprecariouslyemployed,Work
94,Staged return fails the test for HSC students,Fairfax,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,Children;Youngpeople,inequality
95,Terrific coach - may women succeed him,Fairfax,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,Women,Work;inequality
96,The good news on police and family violence,Fairfax,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,Women,Violence;Familyrelations
97,The great Australian betrayal,Fairfax,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,Youngpeople,inequality;Shelter
99,The planet's greatest human rights violation is men harming women,Fairfax,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,Women;Children,Violence;Prejudiceanddiscrimination
101,Timely moves to ease legal burden on abuse victims,Fairfax,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Children,Violence
103,True leadership means not turning a blind eye,Fairfax,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,Children,Violence;Criminaljustice
104,We have a lethal 'bloke blindspot',Fairfax,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,Peoplewithdisabilitiesorchronichealthconditions;Unemployedorprecariouslyemployed,Violence;Work;Healthcare
106,We must get women back to work,Fairfax,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,Women,Work;Familyrelations
107,Weinstein verdict is ultimately an unsatisfactory victory,Fairfax,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Women,Violence
109,"Women are losing ground, not holding it",Fairfax,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,Women,Work;inequality
111,Words that hurt: What's in a name?,Fairfax,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Women,Prejudiceanddiscrimination
116,Australia is not immune from US-style tension,Fairfax,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,Firstnations;Children,Violence;Criminaljustice;Healthcare
118,Band of brothers: Aboriginal men and veterans form an unlikely bond in the face of trauma,Fairfax,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Firstnations;Youngpeople,Healthcare
119,Cathy Freeman gave us more than gold,Fairfax,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Firstnations,Criminaljustice
120,Chill wind blows around icons frozen in time,Fairfax,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Firstnations,Violence
123,Day of reckoning for the nation,Fairfax,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Firstnations,Prejudiceanddiscrimination
125,Ensuring protesters tread a safe path,Fairfax,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,Firstnations,Violence;Criminaljustice;Healthcare
126,Equality doesn't apply in quarantine,Fairfax,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,Firstnations;Women,Criminaljustice;inequality
127,First Peoples sing with one voice - at last the NRL hears,Fairfax,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Firstnations,Criminaljustice
128,How to cut Indigenous prison rates - fast,Fairfax,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,Firstnations;Youngpeople,Criminaljustice;Healthcare
130,Indigenous women at high risk in crisis,Fairfax,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,Firstnations;Women;Children,Violence;Prejudiceanddiscrimination;Healthcare;Familyrelations;Shelter
131,Jailing is failing: Sydney doesn't need a new one,Fairfax,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,Firstnations;Children;Peoplewithdisabilitiesorchronichealthconditions,Violence;Criminaljustice;Familyrelations;Shelter
132,Missing the target,Fairfax,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,Firstnations;Children,Work;Criminaljustice;Healthcare
133,Navigating the tensions of the past,Fairfax,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,Firstnations,Violence;Criminaljustice;Prejudiceanddiscrimination
135,New Closing the Gap agreement won't deliver,Fairfax,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Firstnations,Criminaljustice;Healthcare
136,Public drunkenness is not a crime,Fairfax,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,Firstnations;Peoplewithdisabilitiesorchronichealthconditions,Criminaljustice
137,Retirees have a right to enjoy the roses,Fairfax,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,Firstnations;Women,Work;Healthcare
138,The gaping hole that widens the gap: housing,Fairfax,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,Firstnations;Children;Youngpeople,Healthcare;Shelter
140,"To close this shameful chasm, PM, first you'll need to hear our Voice",Fairfax,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,Firstnations,Violence;Criminaljustice;Healthcare
141,Tradition can take us forward,Fairfax,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Firstnations,Healthcare
143,Unheard voices become riotous roars,Fairfax,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,Firstnations;Women;Children,Criminaljustice
144,Vincent Namatjira's win is a great Archibald story,Fairfax,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Firstnations,Work;Prejudiceanddiscrimination
145,Violence and death at end of long chain,Fairfax,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,Firstnations;Women;Children,Work;Healthcare
146,We know what needs to be done,Fairfax,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Firstnations,Violence;Criminaljustice
147,What it will take to make Black Lives Matter,Fairfax,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,Firstnations,Criminaljustice;Prejudiceanddiscrimination;Healthcare
148,Which team are you on with racism?,Fairfax,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,Firstnations;Women,Healthcare;Shelter
149,Wrestling with history of the victors,Fairfax,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Firstnations,Violence;Criminaljustice
150,A real chance to address mental health,Others,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Peoplewithdisabilitiesorchronichealthconditions,Healthcare
152,Equal representation first step on path to necessary changes,Others,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,Women,Violence;Work;Familyrelations;inequality
153,It's time for a royal commission,Others,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,Women;Children,Violence;Familyrelations
154,Prison is rarely just about the time served,Others,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,Peoplewithdisabilitiesorchronichealthconditions;Unemployedorprecariouslyemployed,Work;Shelter
155,This crash has hurt women most,Others,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Women,Shelter
156,Who decides who gets the gongs?,Others,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,Women,inequality
157,"Why do we blame the jobless, but not greedy CEOs?",Others,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Unemployedorprecariouslyemployed,Prejudiceanddiscrimination
158,A better way than just locking up,Others,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,Firstnations;Children;Peoplewithdisabilitiesorchronichealthconditions;Youngpeople,Violence;Criminaljustice
159,"As we reflect on Black Lives Matter, justice reinvestment shows there can be a better way",Others,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Firstnations,Criminaljustice
160,Employment numbers don't stack up,Others,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,Firstnations;Unemployedorprecariouslyemployed,Work;Shelter
161,"If you want to put children first, register social workers",Others,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,Firstnations;Children,Violence;Familyrelations
162,Let's call it a wrap on the shocker of a year that was 2020,Others,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,Firstnations;Unemployedorprecariouslyemployed,Violence;Criminaljustice
163,Stop taking away Indigenous kids,Others,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,Firstnations;Children,Violence;Criminaljustice
164,The time for a new future is here,Others,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Firstnations,Violence
165,A jobs survey provides hope of a faster recovery,News,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Unemployedorprecariouslyemployed,Work;Healthcare
166,Albanese’s budget speech blues far from in the pink,News,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,Women,Work;Familyrelations;Shelter
167,"BALL IS IN PREMIERS’ COURT: WE MUST REOPEN, AND QUICKLY",News,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Unemployedorprecariouslyemployed,Work
168,BLEAK TIMES BLEAKER STILL FOR THE YOUNG,News,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,Children;Youngpeople,Work
170,Compelling story shines a light,News,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Children,Violence
171,DEFECTS IN JOBS FOR ALL,News,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Youngpeople,Work
172,EDITOR'S LETTER,News,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,Women,Work;Prejudiceanddiscrimination;inequality
173,Fairness is another casualty,News,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,Unemployedorprecariouslyemployed,Work;Criminaljustice;inequality
175,GOLD-PLATED OPPORTUNITY IN OUR LITIGATION NATION,News,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Unemployedorprecariouslyemployed,Healthcare
176,"Great in a crisis, Australia cannot lose it in recovery",News,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Unemployedorprecariouslyemployed,Work
177,Herald Sun,News,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,Women,Violence;Familyrelations
178,Herald Sun,News,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Peoplewithdisabilitiesorchronichealthconditions,Prejudiceanddiscrimination
179,HOW MUCH OF OUR VILLAGE DO WE BURN TO CONTAIN THIS?,News,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Unemployedorprecariouslyemployed,Work;Healthcare
181,Learning harsh economic lessons during pandemic,News,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,Children;Peoplewithdisabilitiesorchronichealthconditions,inequality
183,MANAGE RISK FOR SOCIETY’S REWARD,News,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,Peoplewithdisabilitiesorchronichealthconditions,Healthcare
184,ONLINE CHILD SEX ABUSE SHAMES US,News,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Children,Violence
185,PAYING UP WILL PAY OFF,News,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,Unemployedorprecariouslyemployed,Work;Prejudiceanddiscrimination
187,STREWTH,News,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Women,Prejudiceanddiscrimination
189,Swans send message with Taylor stance,News,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Women,Violence
190,"The Advertiser A time for answers, not excuses",News,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,Peoplewithdisabilitiesorchronichealthconditions,Violence;Familyrelations
192,The Advertiser Find the facts to stop more awful deaths,News,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,Peoplewithdisabilitiesorchronichealthconditions,Violence;Criminaljustice
193,The Advertiser Human face of terrible abandonment,News,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,Peoplewithdisabilitiesorchronichealthconditions,Violence;Healthcare;Familyrelations
194,The Advertiser Job figures drive home big challenge,News,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Unemployedorprecariouslyemployed,Work
195,The Advertiser Never turn a blind eye to violence,News,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Women,Violence
197,THERE’S A CATCH WITH THE EQUAL PAY PITCH,News,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,Women,Work;inequality
198,Tiny wage is not a good look,News,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Women,Work
199,TREASURER’S CREDIBILITY JUST WENT BACKWARDS BY $60BN,News,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Unemployedorprecariouslyemployed,Prejudiceanddiscrimination
200,VIOLENCE MESSAGE IS ALL TALK,News,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Women,Violence
201,"Wake up, Australia, there will be no easy snapback",News,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,Unemployedorprecariouslyemployed;Youngpeople,Work
202,A squabble about indigenous identity has brought one of the key participants undone,News,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Firstnations,Healthcare
203,A voice for First Nations should be beyond the reach of the judiciary,News,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Firstnations,Criminaljustice
204,ABC IGNORES RACE TRUTHS,News,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Firstnations,Violence
205,Abuse in WA must be stopped,News,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,Firstnations;Children,Violence;Criminaljustice;Familyrelations
207,Activist majority’s alien view of judicial power,News,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Firstnations,inequality
208,Deadly menace of family violence must be quelled,News,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,Firstnations;Women;Children;Peoplewithdisabilitiesorchronichealthconditions,Violence;Familyrelations;Shelter
209,FOOLISH RULING WIDENS INDIGENOUS GAP INTO A CHASM,News,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Firstnations,inequality
210,Footy can take lead from NRL,News,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,Firstnations;Women,Violence;Prejudiceanddiscrimination
211,"IF SEPARATISM IS SUCH MISERY, DO WE TRY INTEGRATION?",News,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,Firstnations;Women,Violence;Criminaljustice;Shelter
212,Indigenous ready to take initiatives to close the gap,News,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Firstnations;Youngpeople,Work
214,Just change one word and let us move on to real reform,News,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,Firstnations,Violence;Criminaljustice;Healthcare;Familyrelations
215,LEFT IS FIGHTING TO CONTROL OUR HIGH COURT,News,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Firstnations,inequality
216,LET’S NEVER CONCEDE TO THE MORAL MATRIX OF THE TRIBE,News,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,Firstnations,Violence;Criminaljustice;Prejudiceanddiscrimination;Familyrelations
217,LET’S SLASH INDIGENOUS SENTENCES BY A QUARTER,News,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Firstnations,Criminaljustice
218,LET’S WORK FOR INDIGENOUS JOBS,News,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,Firstnations;Youngpeople,Work;inequality
219,Looking out for the most vulnerable in community,News,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Firstnations,Healthcare
220,Prison stems from disadvantage and entrenches it,News,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,Firstnations;Youngpeople,Criminaljustice;Shelter
221,Reopening schools a milestone,News,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Firstnations;Peoplewithdisabilitiesorchronichealthconditions;Youngpeople,Work
224,THIS IS THE LAW I KNOW,News,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,Firstnations;Women;Children,Violence
225,TIDE TURNS ON WAVE OF ALCOHOL-BASED ABUSE WHEN ACCESS IS RESTRICTED,News,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Firstnations,Healthcare;Shelter
226,TRUTH IS KEPT LOCKED UP,News,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,Firstnations,Violence;Criminaljustice
227,U.S. BURNS BUT WE JUST TURN AWAY,News,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,Firstnations,Violence;Criminaljustice;Prejudiceanddiscrimination
229,WHERE ARE ALL THE DOLLARS STOLEN FROM ABORIGINES?,News,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,Firstnations;Unemployedorprecariouslyemployed,Work;Criminaljustice;Prejudiceanddiscrimination
230,WHY DROP THE BALL ON OUR KEY INDIGENOUS TARGETS?,News,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Firstnations,Work;Criminaljustice
231,Bloody past still unresolved,Others,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Firstnations,Violence
233,No reason to go soft on hate,Fairfax,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Racialminorities,Prejudiceanddiscrimination
234,We need to stop being bystanders,Fairfax,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,Women;Racialminorities,Violence;Prejudiceanddiscrimination
