id,heading,publisher,amplifiesdisadvantagedvoice,dispargesdisadvantaged,recognisesintersectionality,provideshumanexamples,focusesonsolutions,firstnations,racialminorities,women,children,youngpeople,unemployedorprecariouslyemployed,peoplewithdisabilitiesorchronichealthconditions,shelter,healthcare_health,familyrelations,violence,voice,work,crime_criminaljustice,inequality,prejudiceanddiscrimination_general
36,A blanket ban on phones in detention is unacceptable,Federal Capital Press of Australia Pty Ltd,0.166666667,0,0,0.5,0.666666667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,It's time to stop demonising the social security system,Federal Capital Press of Australia Pty Ltd,0.166666667,0,0.5,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
38,"Breaking the culture of dependency, entitlement",News Ltd.,0.333333333,0.5,0,0,0.666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39,Vulnerable need help in recovery,News Ltd.,0.666666667,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
40,Culture and domestic violence,News Ltd.,0.666666667,1,1,1,0.666666667,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
41,CULTURE TO BLAME FOR MUCH OF THIS FAMILY VIOLENCE,News Ltd.,0.833333333,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0
42,One word makes a difference,News Ltd.,1,0.5,0.5,0,0.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,A national health problem tougher than COVID-19,Fairfax Media Management Pty Limited,0.5,0,0,1,0.333333333,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
44,A paedophile supporter gets OA award,Fairfax Media Management Pty Limited,1,0,0,0,0.333333333,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
45,A strong message on youth detention,Fairfax Media Management Pty Limited,0.5,0,0,0,0.333333333,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
46,Action on ambulance claims took far too long,Fairfax Media Management Pty Limited,0.666666667,0,0,0.5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
47,All areas of sport need more women,Fairfax Media Management Pty Limited,0.666666667,0,0.5,0.5,0.666666667,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0
48,Ardern's catch of the day: her partner's support,Fairfax Media Management Pty Limited,1,0,0.5,1,0.666666667,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
49,Arndt's Order of Australia demeans the awards,Fairfax Media Management Pty Limited,1,0,0,0,0.333333333,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
50,Be alert and alarmed about boys' role models,Fairfax Media Management Pty Limited,1,0.5,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
51,Bettina Arndt should return Order of Australia,Fairfax Media Management Pty Limited,0.5,0.5,0,0.5,0.333333333,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
52,Big donations reap sweet rewards,Fairfax Media Management Pty Limited,0.333333333,0,0.5,0.5,0.666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
53,Breaking a vicious cycle,Fairfax Media Management Pty Limited,0.5,1,0.5,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
54,Bringing judges who behave badly to account,Fairfax Media Management Pty Limited,0.833333333,0,0.5,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
55,Budget a missed opportunity on sensitive issues,Fairfax Media Management Pty Limited,0,0,1,0,0.333333333,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0
56,Challenges ahead on mental health,Fairfax Media Management Pty Limited,0,0,1,0,0.666666667,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0
57,Continuing the fight for women's rights,Fairfax Media Management Pty Limited,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
58,Coronavirus risk more than biological,Fairfax Media Management Pty Limited,0.333333333,0,0,0.5,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,Courts need to get tougher on sex abuse,Fairfax Media Management Pty Limited,0.333333333,0,0,1,0.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
60,Dead hand of the state will be our JobKiller if we prolong it,Fairfax Media Management Pty Limited,0,0,0,0,0.666666667,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
61,"Depp, Heard and the deterrence factor",Fairfax Media Management Pty Limited,1,0,0,1,0.666666667,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
62,Disabled must not bear cost of hit to budget surplus,Fairfax Media Management Pty Limited,0.166666667,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
63,Don't play tricks with the NDIS,Fairfax Media Management Pty Limited,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
64,Everyone wins with new social housing,Fairfax Media Management Pty Limited,0.333333333,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
65,"Fierce, fabulous and flawed",Fairfax Media Management Pty Limited,0.833333333,1,0,1,0.333333333,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0
66,Fiscal stimulus key to stem jobless increase,Fairfax Media Management Pty Limited,0.166666667,0.5,0.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
67,Former Liberal staffer laments her silence,Fairfax Media Management Pty Limited,1,0.5,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
68,Foundation for recovery comes at a bearable cost,Fairfax Media Management Pty Limited,0.166666667,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
69,From 'no case' to $1.2 billion settlement: How robo-debt scheme went so wrong,Fairfax Media Management Pty Limited,0.5,0,0.5,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,Good social housing needs more than millions,Fairfax Media Management Pty Limited,0.666666667,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
71,Here we go again - sacrificing the heart and soul of our city,Fairfax Media Management Pty Limited,0.166666667,0,0,0,0.666666667,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
72,Hidden figures mask jobs horror,Fairfax Media Management Pty Limited,0.166666667,0,0,0,0.666666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
73,I tried ice aged 63 and got addicted,Fairfax Media Management Pty Limited,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
74,"Investing in public housing, and lives",Fairfax Media Management Pty Limited,0.333333333,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0
75,It's taken far too long to rectify robo-debt,Fairfax Media Management Pty Limited,0.666666667,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
76,Job path is an uphill struggle,Fairfax Media Management Pty Limited,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
77,Jobless sole parents face cash crux,Fairfax Media Management Pty Limited,0.333333333,0.5,1,0,0.666666667,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
78,Make visible to justice women's hidden hell,Fairfax Media Management Pty Limited,0.833333333,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
79,Male champions with an image problem,Fairfax Media Management Pty Limited,0.333333333,0,0,0,0.666666667,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
80,Missing middle' leaves too many in the dark,Fairfax Media Management Pty Limited,0,0.5,1,0.5,0.333333333,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
81,No Australian life is expendable,Fairfax Media Management Pty Limited,0,0,0.5,0,0.333333333,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
82,Older people's lives shouldn't count less,Fairfax Media Management Pty Limited,0.833333333,0,1,1,0.333333333,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
83,Patching over a culture problem,Fairfax Media Management Pty Limited,0.833333333,0,0,0,0.666666667,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
84,Paternity leave a path to equality,Fairfax Media Management Pty Limited,0.5,0,0,1,0.666666667,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
85,Pension for all? Seniors call to scrap means test,Fairfax Media Management Pty Limited,0.833333333,0,0,0.5,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,"Raise wages, help recovery",Fairfax Media Management Pty Limited,0.5,0,0,0,0.666666667,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
87,Reconciliation at heart of issue,Fairfax Media Management Pty Limited,0.833333333,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
88,Rising inequality can't be ignored,Fairfax Media Management Pty Limited,0.333333333,0,1,0,0.666666667,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0
89,Ryan's optimism and vision sorely needed today,Fairfax Media Management Pty Limited,0.833333333,0,0.5,0.5,0.666666667,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1
90,Shore challenges won't earn entry to adult world,Fairfax Media Management Pty Limited,0,0,1,1,0.333333333,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
91,Single parents now at risk of serious hardship,Fairfax Media Management Pty Limited,0.166666667,0,1,0.5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
92,Slow and steady on post-virus cutbacks,Fairfax Media Management Pty Limited,0.166666667,0,0,0,0.333333333,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
93,So JobKeeper stays. Then what?,Fairfax Media Management Pty Limited,0.166666667,0,0,0,0.666666667,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
94,Social housing boost deserves praise,Fairfax Media Management Pty Limited,0.833333333,0,1,1,0.666666667,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
95,Staged return fails the test for HSC students,Fairfax Media Management Pty Limited,0.666666667,0,1,0,0.666666667,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
96,Terrific coach - may women succeed him,Fairfax Media Management Pty Limited,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
97,The good news on police and family violence,Fairfax Media Management Pty Limited,1,0,0,0.5,0.666666667,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
98,The great Australian betrayal,Fairfax Media Management Pty Limited,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
99,The hardest thing Morrison will ever do comes next,Fairfax Media Management Pty Limited,0.333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100,The planet's greatest human rights violation is men harming women,Fairfax Media Management Pty Limited,0.166666667,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
101,The rights older workers don't know they have,Fairfax Media Management Pty Limited,0.5,0,0.5,0,0.333333333,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
102,Timely moves to ease legal burden on abuse victims,Fairfax Media Management Pty Limited,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
103,Too much banking is bad for you,Fairfax Media Management Pty Limited,0.166666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,True leadership means not turning a blind eye,Fairfax Media Management Pty Limited,0.833333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
105,We have a lethal 'bloke blindspot',Fairfax Media Management Pty Limited,1,0,0.5,1,0.666666667,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0
106,We must get our mojo working,Fairfax Media Management Pty Limited,0.166666667,0,0,0,0.666666667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
107,We must get women back to work,Fairfax Media Management Pty Limited,0.833333333,0,0,0.5,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
108,Weinstein verdict is ultimately an unsatisfactory victory,Fairfax Media Management Pty Limited,1,0,0,0.5,0.666666667,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
109,Weinstein's lawyer gives the saddest defence of sexual assault,Fairfax Media Management Pty Limited,1,0.5,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
110,"Women are losing ground, not holding it",Fairfax Media Management Pty Limited,1,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
111,Women key to economic recovery,Fairfax Media Management Pty Limited,0.5,0,0,0.5,0.666666667,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
112,Words that hurt: What's in a name?,Fairfax Media Management Pty Limited,0.833333333,0.5,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
113,A signpost to Victoria's conflicted past,Fairfax Media Management Pty Limited,0.166666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,A special Sydney place shows why history matters,Fairfax Media Management Pty Limited,0.833333333,0,0,0,0.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Anthem in Dharug nation-changing,Fairfax Media Management Pty Limited,0.833333333,0,0,0,0.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Appointment reveals board's tin ear,Fairfax Media Management Pty Limited,0.5,0,0,0,0.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Australia is not immune from US-style tension,Fairfax Media Management Pty Limited,0.5,0,0.5,0.5,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
118,Bad name for new airport won't fly,Fairfax Media Management Pty Limited,0.833333333,0,0,0,0.666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Band of brothers: Aboriginal men and veterans form an unlikely bond in the face of trauma,Fairfax Media Management Pty Limited,0.833333333,1,0.5,0.5,0.666666667,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
120,Cathy Freeman gave us more than gold,Fairfax Media Management Pty Limited,0.833333333,0,0.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
121,Chill wind blows around icons frozen in time,Fairfax Media Management Pty Limited,0.666666667,0,0,0,0.666666667,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
122,Closing the gap needs real reform,Fairfax Media Management Pty Limited,0.833333333,0,0,0,0.666666667,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
123,Cook events should carry Indigenous voice,Fairfax Media Management Pty Limited,0.666666667,0,0,0.5,0.333333333,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
124,Day of reckoning for the nation,Fairfax Media Management Pty Limited,1,0,0.5,1,0.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
125,Drug use not just an inner-city issue,Fairfax Media Management Pty Limited,0.166666667,0,1,0.5,0.666666667,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
126,Ensuring protesters tread a safe path,Fairfax Media Management Pty Limited,0.166666667,0,0,0,0.666666667,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
127,Equality doesn't apply in quarantine,Fairfax Media Management Pty Limited,0.5,0,0.5,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
128,First Peoples sing with one voice - at last the NRL hears,Fairfax Media Management Pty Limited,0.833333333,0,0,0.5,0.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
129,How to cut Indigenous prison rates - fast,Fairfax Media Management Pty Limited,0.5,0.5,1,0,0.666666667,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
130,"If you can't hear her, she'll work even harder",Fairfax Media Management Pty Limited,1,0,0,0.5,0.333333333,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
131,Indigenous women at high risk in crisis,Fairfax Media Management Pty Limited,0.833333333,0,1,0.5,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1
132,Jailing is failing: Sydney doesn't need a new one,Fairfax Media Management Pty Limited,0.5,0,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0
133,Missing the target,Fairfax Media Management Pty Limited,0.666666667,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
134,Navigating the tensions of the past,Fairfax Media Management Pty Limited,0.833333333,0,0,0.5,0.666666667,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
135,Need for accountability on robo-debt,Fairfax Media Management Pty Limited,0.5,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
136,New Closing the Gap agreement won't deliver,Fairfax Media Management Pty Limited,0.833333333,0,0,0.5,0.666666667,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
137,Public drunkenness is not a crime,Fairfax Media Management Pty Limited,0.5,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
138,Retirees have a right to enjoy the roses,Fairfax Media Management Pty Limited,0.5,0,1,0,0.333333333,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
139,The gaping hole that widens the gap: housing,Fairfax Media Management Pty Limited,0.833333333,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
140,"The law betrays the lore, so we'll destroy it again",Fairfax Media Management Pty Limited,0.666666667,0,0,0,0.666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,"To close this shameful chasm, PM, first you'll need to hear our Voice",Fairfax Media Management Pty Limited,0.833333333,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
142,Tradition can take us forward,Fairfax Media Management Pty Limited,0.666666667,0,0,0.5,0.666666667,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
143,Traditional ways can take us forward,Fairfax Media Management Pty Limited,0.666666667,0,0,0.5,0.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Unheard voices become riotous roars,Fairfax Media Management Pty Limited,1,0,0.5,0.5,0.666666667,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
145,Vincent Namatjira's win is a great Archibald story,Fairfax Media Management Pty Limited,1,0,0,0.5,0.333333333,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
146,Violence and death at end of long chain,Fairfax Media Management Pty Limited,0.833333333,0.5,1,0.5,0.666666667,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
147,We know what needs to be done,Fairfax Media Management Pty Limited,0.833333333,0,1,0.5,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
148,What it will take to make Black Lives Matter,Fairfax Media Management Pty Limited,0.833333333,0,0,0.5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
149,Which team are you on with racism?,Fairfax Media Management Pty Limited,0.833333333,0,0.5,1,0.666666667,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
150,Wrestling with history of the victors,Fairfax Media Management Pty Limited,0.833333333,0,0,0.5,0.333333333,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
151,A real chance to address mental health,Federal Capital Press of Australia Pty Ltd,0.166666667,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
152,Can we work towards a V-shaped educational recovery?,Federal Capital Press of Australia Pty Ltd,0,0,1,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Equal representation first step on path to necessary changes,Federal Capital Press of Australia Pty Ltd,0.833333333,0,0,0.5,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0
154,It's time for a royal commission,Federal Capital Press of Australia Pty Ltd,1,0,0,0.5,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
155,Prison is rarely just about the time served,Federal Capital Press of Australia Pty Ltd,0,0,1,0,0.333333333,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
156,This crash has hurt women most,Federal Capital Press of Australia Pty Ltd,1,0,1,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
157,Who decides who gets the gongs?,Federal Capital Press of Australia Pty Ltd,0.833333333,0,0,0,0.333333333,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
158,"Why do we blame the jobless, but not greedy CEOs?",Federal Capital Press of Australia Pty Ltd,0.333333333,0,0,0,0.666666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
159,A better way than just locking up,Federal Capital Press of Australia Pty Ltd,0.666666667,0,0.5,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0
160,"As we reflect on Black Lives Matter, justice reinvestment shows there can be a better way",Federal Capital Press of Australia Pty Ltd,0.6,0,1,0,0.666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
161,Employment numbers don't stack up,Federal Capital Press of Australia Pty Ltd,0.333333333,0,1,0,0.333333333,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
162,"If you want to put children first, register social workers",Federal Capital Press of Australia Pty Ltd,0.166666667,0,1,1,0.333333333,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
163,Let's call it a wrap on the shocker of a year that was 2020,Federal Capital Press of Australia Pty Ltd,0,0,0.5,0,0.666666667,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
164,Stop taking away Indigenous kids,Federal Capital Press of Australia Pty Ltd,0.833333333,0,1,0.5,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
165,The time for a new future is here,Federal Capital Press of Australia Pty Ltd,1,0,0,0.5,0.666666667,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
166,A jobs survey provides hope of a faster recovery,News Ltd.,0.333333333,0,0,0,0.666666667,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
167,Albanese’s budget speech blues far from in the pink,News Ltd.,0.333333333,0,0.5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
168,"BALL IS IN PREMIERS’ COURT: WE MUST REOPEN, AND QUICKLY",News Ltd.,0.166666667,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
